"lon" "lat" "date" "t_max"
15.7499 50.7499 1950-04-20 12.8699997123331
15.7499 50.7499 1950-04-21 17.6999996043742
15.7499 50.7499 1950-04-22 19.9799995534122
15.7499 50.7499 1950-04-23 14.2599996812642
15.7499 50.7499 1950-04-24 7.87999982386827
15.7499 50.7499 1950-04-25 4.019999910146
15.7499 50.7499 1950-04-26 5.77999987080693
15.7499 50.7499 1950-04-27 6.69999985024333
15.7499 50.7499 1950-04-28 5.84999986924231
15.7499 50.7499 1950-04-29 4.86999989114702
15.7499 50.7499 1950-04-30 9.38999979011714
15.7499 50.7499 1950-05-01 14.4999996758997
15.7499 50.7499 1950-05-02 15.809999646619
15.7499 50.7499 1950-05-03 18.1799995936453
15.7499 50.7499 1950-05-04 15.2899996582419
15.7499 50.7499 1950-05-05 8.51999980956316
15.7499 50.7499 1950-05-06 11.8299997355789
15.7499 50.7499 1950-05-07 14.2499996814877
15.7499 50.7499 1950-05-08 14.4999996758997
15.7499 50.7499 1950-05-09 15.2199996598065
15.7499 50.7499 1950-05-10 12.7999997138977
15.7499 50.7499 1950-05-11 13.0499997083098
15.7499 50.7499 1950-05-12 13.3399997018278
15.7499 50.7499 1950-05-13 13.7699996922165
15.7499 50.7499 1950-05-14 15.789999647066
15.7499 50.7499 1950-05-15 13.5199996978045
15.7499 50.7499 1950-05-16 9.64999978430569
15.7499 50.7499 1950-05-17 15.7799996472895
15.7499 50.7499 1950-05-18 19.519999563694
15.7499 50.7499 1950-05-19 14.8499996680766
15.7499 50.7499 1950-05-20 18.0799995958805
15.7499 50.7499 1950-05-21 22.6399994939566
15.7499 50.7499 1950-05-22 25.5599994286895
15.7499 50.7499 1950-05-23 20.4499995429069
15.7499 50.7499 1950-05-24 17.5699996072799
15.7499 50.7499 1950-05-25 16.2199996374547
15.7499 50.7499 1950-05-26 20.4399995431304
15.7499 50.7499 1950-05-27 11.6299997400492
15.7499 50.7499 1950-05-28 9.63999978452921
15.7499 50.7499 1950-05-29 10.4099997673184
15.7499 50.7499 1950-05-30 14.939999666065
15.7499 50.7499 1950-05-31 12.6599997170269
15.7499 50.7499 1950-06-01 13.469999698922
15.7499 50.7499 1950-06-02 15.1499996613711
15.7499 50.7499 1950-06-03 18.9999995753169
15.7499 50.7499 1950-06-04 20.7499995362014
15.7499 50.7499 1950-06-05 21.529999518767
15.7499 50.7499 1950-06-06 22.4999994970858
15.7499 50.7499 1950-06-07 23.5499994736165
15.7499 50.7499 1950-06-08 23.7499994691461
15.7499 50.7499 1950-06-09 19.8199995569885
15.7499 50.7499 1950-06-10 12.369999723509
15.7499 50.7499 1950-06-11 13.1199997067451
15.7499 50.7499 1950-06-12 16.7299996260554
15.7499 50.7499 1950-06-13 20.679999537766
15.7499 50.7499 1950-06-14 17.8099996019155
15.7499 50.7499 1950-06-15 20.4499995429069
15.7499 50.7499 1950-06-16 19.3199995681643
15.7499 50.7499 1950-06-17 16.6199996285141
15.7499 50.7499 1950-06-18 16.8499996233732
15.7499 50.7499 1950-06-19 19.0999995730817
15.7499 50.7499 1950-06-20 22.1699995044619
15.7499 50.7499 1950-06-21 25.9199994206429
15.7499 50.7499 1950-06-22 16.6099996287376
15.7499 50.7499 1950-06-23 14.9699996653944
