"lon" "lat" "date" "t_avg"
13.1499 49.2499 1950-01-01 -6.57999985292554
13.1499 49.2499 1950-01-02 -2.50999994389713
13.1499 49.2499 1950-01-03 -0.149999996647239
13.1499 49.2499 1950-01-04 -2.25999994948506
13.1499 49.2499 1950-01-05 -1.74999996088445
13.1499 49.2499 1950-01-06 1.47999996691942
13.1499 49.2499 1950-01-07 0.699999984353781
13.1499 49.2499 1950-01-08 1.06999997608364
13.1499 49.2499 1950-01-09 0.409999990835786
13.1499 49.2499 1950-01-10 2.03999995440245
13.1499 49.2499 1950-01-11 2.68999993987381
13.1499 49.2499 1950-01-12 0.909999979659915
13.1499 49.2499 1950-01-13 -0.139999996870756
13.1499 49.2499 1950-01-14 0.159999996423721
13.1499 49.2499 1950-01-15 2.27999994903803
13.1499 49.2499 1950-01-16 0.829999981448054
13.1499 49.2499 1950-01-17 -0.299999993294477
13.1499 49.2499 1950-01-18 -5.80999987013638
13.1499 49.2499 1950-01-19 -10.3499997686595
13.1499 49.2499 1950-01-20 -6.7199998497963
13.1499 49.2499 1950-01-21 -7.93999982252717
13.1499 49.2499 1950-01-22 -5.88999986834824
13.1499 49.2499 1950-01-23 -9.61999978497624
13.1499 49.2499 1950-01-24 -8.62999980710447
13.1499 49.2499 1950-01-25 -6.76999984867871
13.1499 49.2499 1950-01-26 -6.62999985180795
13.1499 49.2499 1950-01-27 -5.09999988600612
13.1499 49.2499 1950-01-28 -8.69999980553985
13.1499 49.2499 1950-01-29 -10.3699997682124
13.1499 49.2499 1950-01-30 -10.8199997581542
13.1499 49.2499 1950-01-31 -6.07999986410141
13.1499 49.2499 1950-02-01 -4.40999990142882
13.1499 49.2499 1950-02-02 -3.97999991104007
13.1499 49.2499 1950-02-03 -4.43999990075827
13.1499 49.2499 1950-02-04 -4.4199999012053
13.1499 49.2499 1950-02-05 -3.97999991104007
13.1499 49.2499 1950-02-06 -0.719999983906746
13.1499 49.2499 1950-02-07 0.289999993517995
13.1499 49.2499 1950-02-08 0.30999999307096
13.1499 49.2499 1950-02-09 -1.70999996177852
13.1499 49.2499 1950-02-10 1.95999995619059
13.1499 49.2499 1950-02-11 3.56999992020428
13.1499 49.2499 1950-02-12 1.32999997027218
13.1499 49.2499 1950-02-13 2.96999993361533
13.1499 49.2499 1950-02-14 0.879999980330467
13.1499 49.2499 1950-02-15 0.369999991729856
13.1499 49.2499 1950-02-16 3.74999991618097
13.1499 49.2499 1950-02-17 4.26999990455806
13.1499 49.2499 1950-02-18 4.79999989271164
13.1499 49.2499 1950-02-19 3.51999992132187
13.1499 49.2499 1950-02-20 4.79999989271164
13.1499 49.2499 1950-02-21 2.71999993920326
13.1499 49.2499 1950-02-22 -1.50999996624887
13.1499 49.2499 1950-02-23 0.96999997831881
13.1499 49.2499 1950-02-24 4.51999989897013
13.1499 49.2499 1950-02-25 4.46999990008771
13.1499 49.2499 1950-02-26 2.20999995060265
13.1499 49.2499 1950-02-27 -4.48999989964068
13.1499 49.2499 1950-02-28 -6.06999986432493
